# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_upstream_gene_variant
ACOT6	ACOT6	NM_001365788.1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ACOXL	ACOXL	NM_001142807.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACP6	ACP6	NM_016361.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACSL1	ACSL1	NM_001995.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACSL4	ACSL4	NM_001318510.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACTG2	ACTG2	NM_001615.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACTN2	ACTN2	NM_001103.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ACYP2	ACYP2	NM_001320586.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADAM12	ADAM12	NM_001288973.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ADAM2	ADAM2	NM_001464.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADAM23	ADAM23	NM_003812.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADAM33	ADAM33	NM_025220.5	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ADAMTS14	ADAMTS14	NM_080722.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADAMTS16	ADAMTS16	NM_139056.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADAMTS17	ADAMTS17	NM_139057.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADAMTS3	ADAMTS3	NM_014243.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ADAMTS9	ADAMTS9	NM_182920.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADARB2	ADARB2	NM_018702.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADAT1	ADAT1	NM_001324445.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADCY3	ADCY3	NM_004036.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADCY5	ADCY5	NM_183357.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADCY9	ADCY9	NM_001116.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADD1	ADD1	NM_001354761.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADGRA3	ADGRA3	NM_145290.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADGRB3	ADGRB3	NM_001704.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADGRL3	ADGRL3	NM_001387552.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADH5	ADH5	NM_000671.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADK	ADK	NM_006721.4	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
ADM2	ADM2	NM_001253845.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ADPRHL1	ADPRHL1	NM_001394807.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADRA1B	ADRA1B	NM_000679.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADRA1D	ADRA1D	NM_000678.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADRM1	ADRM1	NM_007002.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AFAP1L1	AFAP1L1	NM_152406.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AFG1L	AFG1L	NM_145315.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AGAP5	AGAP5	NM_001144000.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1
AGBL1	AGBL1	NM_001386094.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AGBL3	AGBL3	NM_178563.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AGBL4	AGBL4	NM_032785.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AGTR1	AGTR1	NM_000685.5	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
AGTRAP	AGTRAP	NM_020350.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AHCTF1	AHCTF1	NM_001323342.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AHCYL2	AHCYL2	NM_015328.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
AHSA1	AHSA1	NM_012111.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
AIF1	AIF1	NM_001623.5	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
AJAP1	AJAP1	NM_018836.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AK5	AK5	NM_174858.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
AKAP12	AKAP12	NM_005100.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AKAP13	AKAP13	NM_007200.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AKAP6	AKAP6	NM_004274.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AKAP7	AKAP7	NM_016377.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AKAP8	AKAP8	NM_005858.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
AKNA	AKNA	NM_001317950.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ALDH1L1	ALDH1L1	NM_012190.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ALDH4A1	ALDH4A1	NM_003748.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ALG1	ALG1	NM_019109.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ALG10B	ALG10B	NM_001013620.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ALG11	ALG11	NM_001004127.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ALG8	ALG8	NM_024079.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ALK	ALK	NM_004304.5	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ALMS1	ALMS1	NM_001378454.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ALOX5	ALOX5	NM_000698.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AMIGO1	AMIGO1	NM_020703.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AMN1	AMN1	NM_001113402.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANAPC5	ANAPC5	NM_016237.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANGPT4	ANGPT4	NM_015985.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANK1	ANK1	NM_000037.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ANK2	ANK2	NM_001148.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKDD1A	ANKDD1A	NM_182703.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKEF1	ANKEF1	NM_022096.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ANKFN1	ANKFN1	NM_001370326.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKH	ANKH	NM_054027.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKLE2	ANKLE2	NM_015114.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKRD11	ANKRD11	NM_013275.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKRD12	ANKRD12	NM_015208.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKRD13C	ANKRD13C	NM_030816.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKRD16	ANKRD16	NM_019046.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKRD24	ANKRD24	NM_001393985.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKRD26	ANKRD26	NM_014915.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ANKRD27	ANKRD27	NM_032139.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ANKRD30A	ANKRD30A	NM_052997.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ANKRD35	ANKRD35	NM_144698.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKRD46	ANKRD46	NM_001270377.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ANKRD55	ANKRD55	NM_024669.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANKS1B	ANKS1B	NM_001352186.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANO4	ANO4	NM_001286615.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANOS1	ANOS1	NM_000216.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANPEP	ANPEP	NM_001150.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANTXR2	ANTXR2	NM_058172.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ANXA3	ANXA3	NM_005139.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AOPEP	AOPEP	NM_001193329.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AP1M1	AP1M1	NM_032493.4	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
AP2A1	AP2A1	NM_130787.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AP2B1	AP2B1	NM_001030006.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AP3B1	AP3B1	NM_003664.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
APAF1	APAF1	NM_181861.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
APBA1	APBA1	NM_001163.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
APBA2	APBA2	NM_001353788.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
APBB2	APBB2	NM_004307.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
APC	APC	NM_000038.6	protein_coding	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0
APOB	APOB	NM_000384.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
APOBEC1	APOBEC1	NM_001644.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
APOBEC2	APOBEC2	NM_006789.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
APOBEC3C	APOBEC3C	NM_014508.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
APOBEC3G	APOBEC3G	NM_021822.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
APOC2	APOC2	NM_000483.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
APOC4	APOC4	NM_001646.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
APOL5	APOL5	NM_030642.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
APP	APP	NM_000484.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AQP3	AQP3	NM_004925.5	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ARF3	ARF3	NM_001659.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARHGAP20	ARHGAP20	NM_001384657.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARHGAP21	ARHGAP21	NM_020824.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARHGAP24	ARHGAP24	NM_001025616.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ARHGAP26	ARHGAP26	NM_001135608.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARHGAP31	ARHGAP31	NM_020754.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARHGAP40	ARHGAP40	NM_001164431.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ARHGAP42	ARHGAP42	NM_152432.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARHGAP44	ARHGAP44	NM_014859.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARHGEF10	ARHGEF10	NM_014629.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARHGEF15	ARHGEF15	NM_173728.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ARHGEF4	ARHGEF4	NM_001367493.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ARID1B	ARID1B	NM_001374828.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ARID2	ARID2	NM_152641.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARID3B	ARID3B	NM_006465.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARIH2	ARIH2	NM_006321.4	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0
ARK2N	ARK2N	NM_145055.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ARL15	ARL15	NM_019087.3	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ARMC1	ARMC1	NM_018120.6	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ARMC2	ARMC2	NM_032131.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARMC9	ARMC9	NM_001352754.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARMH3	ARMH3	NM_024541.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARPP19	ARPP19	NM_006628.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARSB	ARSB	NM_000046.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ARSD	ARSD	NM_001669.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ARSK	ARSK	NM_198150.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ARSL	ARSL	NM_000047.3	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ART3	ART3	NM_001130016.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ASB5	ASB5	NM_080874.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ASH1L	ASH1L	NM_018489.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ASIP	ASIP	NM_001672.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ASMT	ASMT	NM_001171038.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ASTN2	ASTN2	NM_001365068.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0
ASXL1	ASXL1	NM_015338.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATAD1	ATAD1	NM_001321967.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATAD2B	ATAD2B	NM_017552.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATCAY	ATCAY	NM_033064.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATF1	ATF1	NM_005171.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ATF7	ATF7	NM_006856.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATF7IP2	ATF7IP2	NM_001393719.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATG16L1	ATG16L1	NM_030803.7	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATG7	ATG7	NM_001349232.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATG9B	ATG9B	NM_001317056.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATL2	ATL2	NM_001135673.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATOH8	ATOH8	NM_032827.7	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATP12A	ATP12A	NM_001676.7	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATP1B2	ATP1B2	NM_001678.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ATP2C1	ATP2C1	NM_001378687.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATP5F1C	ATP5F1C	NM_001001973.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ATP5MF	ATP5MF	NM_004889.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ATP6V0A4	ATP6V0A4	NM_020632.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ATP6V0D2	ATP6V0D2	NM_152565.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ATP6V1C2	ATP6V1C2	NM_001039362.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ATP6V1E1	ATP6V1E1	NM_001696.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATP6V1E2	ATP6V1E2	NM_001318063.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATP8A2	ATP8A2	NM_016529.6	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ATPSCKMT	ATPSCKMT	NM_199133.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ATRNL1	ATRNL1	NM_207303.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATXN1	ATXN1	NM_001128164.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATXN10	ATXN10	NM_013236.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ATXN2	ATXN2	NM_001372574.1	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0
ATXN3	ATXN3	NM_004993.6	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AUNIP	AUNIP	NM_024037.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AUTS2	AUTS2	NM_015570.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
AZGP1	AZGP1	NM_001185.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AZIN2	AZIN2	NM_052998.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
B3GALT1	B3GALT1	NM_020981.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
B3GAT1	B3GAT1	NM_054025.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
B3GNTL1	B3GNTL1	NM_001009905.3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
B4GALNT2	B4GALNT2	NM_001159387.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
B4GALNT3	B4GALNT3	NM_173593.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
B4GALT1	B4GALT1	NM_001497.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
B4GALT4	B4GALT4	NM_003778.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BABAM2	BABAM2	NM_199191.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BANK1	BANK1	NM_017935.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BARD1	BARD1	NM_000465.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BATF2	BATF2	NM_138456.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BBOF1	BBOF1	NM_025057.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1
BBS4	BBS4	NM_033028.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BBS9	BBS9	NM_198428.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BCAP29	BCAP29	NM_018844.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BCAS2	BCAS2	NM_005872.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
BCAS3	BCAS3	NM_017679.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
BCAT2	BCAT2	NM_001190.4	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
BCL2L10	BCL2L10	NM_020396.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BCL2L13	BCL2L13	NM_015367.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BCL3	BCL3	NM_005178.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BCL7A	BCL7A	NM_001024808.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BCO1	BCO1	NM_017429.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BCO2	BCO2	NM_031938.7	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BCORL1	BCORL1	NM_001379451.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
BCR	BCR	NM_004327.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
BEND4	BEND4	NM_207406.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
BICD1	BICD1	NM_001714.4	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0
